aba	kapa
ressaca	korda ku moku
resto	restu
retirar	tira
retirar	ritira
reto	retu
retomar	riba
retornar	riba
reunião	runion
reunir	runi
reverência	venerason
reverso	kontrariu
reverter	muda
revista	revista
reviver	volta vivi
revolta	rabolta
revoltar	rabolta
reza	raza
rezador	rasadur
rezar	rasa
ribeiro	riusiñu
rico	riku
rigoroso	rigurosu
rim	rin
rio	riu
riqueza	rikesa
rir	ri
riso	sorizu
ritmo	ritimu
ritual	sirmonia
rocha	rotcha
roda	roda
rodo	po di djunda yagu
rodovia	kamiñu
roedor	ruidur
roer	rui
roído	ruidu
rolar	rola
rolha	rodja
rolo	rolu
romper	rumpi
rompido	rumpidu
roncar	ronka na sonu
ronco	ronku
ronda	ronda
rosa	roza
rosca	roska
rosnado	ronku
rosnar	ronka
rosto	rostu
rotação	rotason
rotatória	rutunda
roubar	roba
roubo	robu
roupa	ropa
roxo	kor di violeta
rua	rua
ruga	nornori
rugido	manera di rosna di lion
rugir	girta
ruído	ruidu
ruim	ruñu
ruína	kaida
ruindade	ruñesa
ruptura	siparason
sábado	sabadu
sabão	sabon
esperteza	spertasku
sabedoria	sabiduria
saber	kunsimentu
saber	sibi
sábio	sabiu
sabor	sabura
saborear	sinti gustu
saboroso	sabi
sabre	spada suma arku
sabugo	ñaña
sacar	tira
saciado	fartu
saciar	farta
saco	saku
sacrificar	sakrifika
sacrifício	sakrifis
sacudir	sakudi
satisfeito	kontenti
saia	saia
saída	saida
sair	sai
sal	sal
sala	sala
salário	salariu
salgado	salgadu
salgar	salga
saliva	kuspiñu
salpicar	tchubiska
saltar	salta
saltitar	salta-salta
salto	saltu
salvar	salba
sandália	sandalia
sangrar	sangra
sangrar	sangranta
sangue	sangi
sanguessuga	sambasuga
sapatilha	sapatilia di badju
sapato	sapatu
sapo	sapu
saquear	furta
sarna	sarna
satisfação	satisfason
satisfazer	satisfazi
satisfeito	kontenti
saudação	manteña
saudade	sodadi
saudar	fala manteña
saudável	ku saudi
saúde	saudi
savana	lala
se	si
seca	seku
secar	seka
seco	seku
século	sekulu
secura	sekura
seda	seda
sede	sedi
sede	sedi
sedento	ku sedi
seguir	sigi
segunda-feira	sugunda-fera
segundo	sugundu
segurar	sugura
seguro	suguru
seis	seis
seiscentos	seisentus
seiva	liti di po
seixo	kaskadju
sela	sela
selar	sela
seleção	seleson
selecionar	selesiona
seleiro	kusidur
selo	selu
selvagem	salbas
sem	sin
sem graça	ka sabi
semana	sumana
semeadura	simintera
semear	sumia
semelhante	simildjanti
sêmen	kuadju
semente	simenti
sempre	sempri
sênior	garandi
sentado	sintadu
sentar	sintanda
sentar	sinta
sentença	djulgamentu
sentir	sinti
separação	siparason
separado	siparadu
separar	sipara
septuagésimo	setenta lugar
sepultamento	nteru
sepultar	supulta
sepultura	supultura
ser	sedu
ser vivo	bibu
seriedade	seredadi
seringa	siringa
sério	seriu
serpente	kobra
serra	montaña
serra	sera
serrar	sera
serrote	seroti
servir	sirbi
servo	sirbidur
sessão	seson
sessenta	sesenta
sete	seti
setecentos	setisentus
setembro	setembru
setenta	setenta
sétimo	setimu
seu	si
sexta-feira	sesta-fera
sexto	sestu
sicó	siko
sífilis	siflis
significado	signifikadu
significar	signifika
silenciar	kala boka
silêncio	silensiu
silencioso	kaladu
silvo	barudju di kobra
sim	sin
simpatia	simpatia
simpático	simpatiku
sinal	sinal
sino	sinu
sítio	kau
só	so
sob	bas di
sobra	sobra
sobrancelha	sobrinsela
sobrar	sobra
sobre	aserka di
sobremesa	sobramesa
sobressalto	sustu
sobrinho	subriñu
socar	sukia
soco	suku
socorrer	sakura
sofá	sufa
sofrer	sufri
sofrimento	sufrimentu
sogra	dona
sogro	dona
sol	sol
sola	pata di pe
soldado	soldadu
soletrar	seletra
solicitação	pididu
solicitar	solisita
sólido	risu
solo	tchon
solo	tchon
soltar	solta
solteiro	solteru
solto	soltu
soluçar	salusa
soluço	salus
som	son
soma	soma
somar	soma
sombra	sombra
sombreado	ku sombra
somente	somenti
sonhar	suña
sonho	suñu
sono	sonu
sonolento	ku sonu
sopa	sopa
soprar	supra
sopro	supru
sorgo	midju-kabalu
sorrir	ñiñi
sorriso	sorizu
sorte	sorti
sótão	ntudju
sozinho	ami son
sua	si
suado	kaluradu
suar	kalura
suave	suavi
suavidade	manera santadu
suavizar	fasi santadu
sub	sub 
subida	subida
subir	sibi
submeter	rianta kabesa dianti di
subsistência	so pa kume
subtrair	tira
subtrair	roba
suceder	susedi
sucessão	ardansa
suco	sumu
sudeste	sudesti
suficiente	sufisienti
sugar	tchupa
sugerir	propui
sugestão	sujeston
sujar	susa
sujar	ñereti
sujeira	susidadi
sujo	susu
sul	sul
sulco	regu
sulista	moradur di sul
suor	suur
superação	pasanta
superar	ultrapasa
superfície	superfisi
superior	superior
superioridade	vantajen
súplica	pididu
suplicar	roga
suportar	saporta
suporte	suporti
surdo	surdu
surpreender	surprindi
surpreendido	surprendidu
suspender	nturumpi
suspenso	nturumpidu
sussurro	bokasiñu
susto	pantadura
sutiã	kurpiñu
tabaco	tabaku
tabu	malgosadu
tabuada	taguada
tabuleiro	tabuleru
taioba	manfafa
talher	garfu
talvez	talves
tamanduá	tamandua
tamanho	tamañu
tâmara	tambra
tamareira	pe di tambra
tamarindo	tambarina
também	tambi
tambor	tambur
tampa	tampu
tanga	tanga
tanino	taninu
tanto	tantu
tapa	bofotada
tapar	tapa
tapete	tapeti
tarântula	araña
tarde	tardi
tartaruga	tataruga
tataravó	dona femia di bu dona
tataravô	dona matchu di bu dona
tatear	palpa-palpa
tatuagem	tatuajen
tatuar	fasi tatuajen
tchau	tchau
te	u
tear	pinti
tecelagem	kau di tisi
tecelão	tisidur di panu
tecer	tisi
tecido	tisidu
teia	kasa di araña
teimoso	ntemus
tela	ekran
telefonar	telefona
telefone	telefoni
telefonema	telefonema
telha	tidja
telhado	tidjadu
temer	medi
temor	medu
temperar	pui sal
temperatura	tempratura
tempestade	turbada
tempo	tempu
temporada	tempu
tenda	tenda
tendão	nervu
tensão	tenson
tenso	nervus
tentação	tentason
tentar	tenta
ter	tene
terça-feira	tersa-fera
terceiro	terseru
terminado	kabadu
terminar	kaba
terno	fatu
terra	tera
terraço	baranda
terreiro	kintal
terreno	terenu
tesão	lanta
tesoura	tisora
testa	testa
testar	sprimenta
testar	testa
teste	testi
testemunha	tustumuña
testemunhar	tustumuña
testemunho	tustumuñu
testículo	garan di matchundadi
teta	mama
teto	ntudju
teu	di bo
ti	bo
tia	tia
tíbia	tibia
tigela	tijela
tijolo	tidjolu
timidez	burguñu
tímido	burguñantadu
tingir	tindji
tinta	tinta
tintura	tinta pa tindji
tio	tiu
tirar	tira
tiro	tiru
título	titulu
toalha	tuadja di laba kurpu
toca	koba
tocar	toka
tocha	patchu di fugu
toco	mungut
todo	tudu
tolerância	toleransia
tolerar	tulera
tomada	tomada
tomar	toma
tomate	kamati
tombar	bati
tonto	tchan-tchañi
tontura	tuntura
topete	moda di yalsa kabelu dianti riba
topo	riba
toque	toku
toranja	turandja
torção	dismintidura
torcer	tursi
torcicolo	djitu na garganti
torcida	klakerus
torcido	tursidu
tornar	torna
torneira	turnera
tornozeleira	ligadura pa dur di udju di pe
tornozelo	udju di pe
torrado	ulu-ulidu
torrão	tchon risu
torrar	tora
torto	tortu
tosquiar	tiskia
tosse	tusi
tossir	tusi
total	total
touro	turu
tóxico	benenus
trabalhador	tarbadjadur
trabalhar	tarbadja
trabalho	tarbadju
traço	trasu
tradição	tradison
tradicional	tradisional
traidor	traidur
trair	trai
tramar	djanfa
trança	transa
trançado	tisidu
trancar	ntranka
trançar	tisi
tranquilidade	kalma
tranquilo	trankilu
transar	moka
transbordamento	manera di intchi tok i na darma
transbordar	darma
transformação	mudansa
transformar	muda
transpiração	kalur
transpirar	kalura
transplantar	tira orgon dentru di algin pa pui utru
transportar	leba
trapaça	tarpasa
trapacear	tarpasa
trapaceiro	tarpaseru
trapo	ratadju
trás	tras
traseira	tras
traseiro	trasera
trator	trator
travar	trava
trave	viga
travesseiro	turbuseru
trazer	tisi
trecho	spasu
treinamento	trenamentu
treinar	trena
tremer	tirmi
tremida	tirmidura
tremura	manera di tirmi
três	tris
trevas	sukurensa
treze	trezi
trezentos	trizentus
tribo	tribu
tribunal	tribunal
trigésimo	trinta bias
trigo	trigu
trilha	kamiñu pa ka pirdi
trinta	trinta
tripa	tripa
triste	tristi
tristeza	tristesa
troca	troka
trocar	torkia
trombeta	trumbeta
tronco	tronku
tropeçar	da tapada
tropeço	tapada
trovão	turbada
tu	bu
tubarão	tubaron
tubérculo	rais ku ta kumedu
tubo	tubu
tudo	tudu
tumba	tumba
túmulo	tumba
tumulto	tumultu
tumultuar	fasi kunfuson
turbante	kala
úbere	pitu
uivar	pupa
úlcera	ulsera
último	ultimu
ultrapassagem	kambansa
ultrapassar	ultrapasa
um	un
um bilhão	un bilion
um milhão	un milion
um trilhão	un trilion
uma vez	un bias
umbigo	biku di bariga
umedecer	modja
umidade	umidadi
úmido	umidu
unha	n'uña
unhada	finka uña
unhar	ñafini
união	union
único	un son
unir	uni
urina	orina
urinar	xixi
urubu	djugudi
usado	uzadu
usar	uza
usina	fabrika
utensílio	material di tarbadju
útero	madri
útil	util
uva	uva
vaca	baka-femia
vadiar	badia
vadio	badiadur
vagabundo	amonton
vagina	mindjerndadi
vago	ka tene sintidu
vago	sin nada
vaguear	n'ai-n'ai
vala	baleta
valente	balenti
valer a pena	bali pena
vangloriar	karmusa
vapor	fumu
vara	bara
varal	bara di seka
varanda	baranda
varredura	baridura
varrer	bari
vaso	basia
vassoura	basora
vastidão	kau garandi tok i pirdi
vazante	basanti
vazar	darma
vazio	vaziu
veado	frintamba
vegetal	vejetal
veia	veia
velha	bedja
velhice	bedjisa
velho	bedju
velocidade	vulusidadi
veloz	rapidu
veludo	veludu
vencer	ngaña
vendaval	bentu forti
vender	bindi
veneno	benenu
venenoso	benenus
ventania	bentu
ventar	bentu ku na supra
ventilador	bentuiña
ventilar	bentia
vento	bentu
ventre	bariga
Vênus	Venus
ver	odja
verão	tempu di seku
verdade	bardadi
verdadeiro	bardaderu
verde	verdi
verde	verdi
vergonha	burguñu
verme	bitchu
vermelho	burmedju
verruga	bruga
vertical	vertikal
vertigem	tuntura
vesícula	vesikula
vespa	bagera-brabu
véspera	bespra
veste	sabadora
vestido	bistidu
vestimenta	bistimentu
vestir	bisti
vestuário	ropa
véu	veu
vez	bias
viagem	bias
viajante	algin ku sta na bias
viajar	bai bias
víbora	tutu
vibrar	vibra
vice-campeão	sugundu lugar
vida	bida
videira	pe di uva
vidro	bidru
viga	viga
vigésimo	vijesimu
vigésimo primeiro	vinti i un bias
vigia	bisiadur
vigiar	bisia
vila	prasa
vilarejo	prasa
vime	po moli
vingador	tornadur
vingança	bingansa
vingar	binga
vinho	biñu
vinte	binti
vinte e cinco	binti i sinku
vinte e dois	binti i dus
vinte e nove	binti i novi
vinte e oito	binti i oitu
vinte e quatro	binti i kuatru
vinte e seis	binti i seis
vinte e sete	binti i seti
vinte e três	binti i tres
vinte e um	binti i un
viola	biola
violação	violason
violão	violon
vir	bin
virar	mborka
virgem	virjen
vírus	virus
visão	vizon
visgo	biñali
visita	bisita
visitante	bisita
visitar	bisita
vitória	vitoria
viúvo	viuvu
viver	vivi
vivo	bibu
vizinho	viziñu
voar	bua
vocação	dispozison
você	bu
vocês	bo
volante	volanti
volta	bolta
voltar	bolta
vomitar	ramasa
vômito	ramasadura
vontade	bontadi
voo	voo
vos	bos
vós	bo
vosso	bo
voz	vos
vulva	mindjerndadi
xilofone	balafon
zangado	zangadu
zebra	zebra
zelar	zela
zelo	zelu
zelozo	atentu
zerar	paga
zero	zeru
A aba do meu chapéu é branca.	Kapa di ña tchapeu i branku.
Comi abacate hoje.	N' kume abakati aos.
Suco de abacaxi é saboroso.	Sumu di ananas sabi.
O menino se abaixou para pegar a fruta.	Mininu djungutu pa paña fruta.
O sapato está debaixo da cama.	Sapatu sta bas di kama.
O filho da minha tia foi abandonado.	Fidju di ña tia bandonadu.
Não os abandones.	Ka bu bandona elis.
Matar os animais para ir comer ou vender.	Bati limarias pa bai kume o bindi.
O abdômen de alguém.	Bariga di algin.
Abelha que tem colmeia, que ferroa.	Bagera ki ta tene kumbu di mel, ki ta fertcha.
Os velhos abençoam o meu filho.	Garandis bensua ña fidju.
A abertura da porta é larga.	Abertura di porta largu.
Cozinhar a abóbora para comer.	Kusiña bobra pa kume.
A minha mãe aborrece o meu pai.	Ña mame ta burisi ña pape.
Estou aborrecido com o resultado.	N' sta nervozu ku ruzultadu.
A moça abortou.	Badjuda tira bariga.
A grávida abortou.	Bariga di preñada sai.
A grávida foi forçada a fazer aborto.	Preñada forsadu pa bai fasi abortu.
Abracei o meu amigo.	N' barsa ña amigu.
Abriguei a minha namorada.	N' moranta ña badjuda.
Precisamos de um abrigo na selva.	No misti kau di sukundi na matu.
O mês de abril está quente este ano.	Mis di abril kinti es anu.
Tu abres a boca e vais chorar.	Bu abri boka bu na tchora.
Muito pus está na sua ferida.	Materia sta na bu tchaga tchiu.
Ele se absteve de comer peixe.	I dixa di kume pis.
O trabalho é abundante no meu país.	Tarbadju abundanti na ña pais.
Laranja abunda nesta terra.	Larandja abunda ne tera.
Abuso em criança é proibido.	Abuzu na mininu tudjidu.
O abutre arrebatou a carne da criança.	Djugudi rabata karni di mininu.
A minha família foi acabada pelo bandido.	Ña familia kabadu pa bandidu.
O acabamento da construção ficou feio.	Kabantada di konstruson fiu.
Ele acabou de fazer tudo.	I kaba di fasi tudu.
Acalme-se, vai dar certo.	Kalma, i na da sertu.
Vou procurar um acampamento de férias para algum tempo.	Na buska kampamentu di feria pa algun tempu.
Vou acampar nesta barraca de praia por dois dias.	Na kampa nes baraka di praia pa dus dia.
Acaricia a sua namorada.	Da bu badjuda kariñu.
Minha mãe chegou por acaso.	Ña mame tchiga pur akazu.
A aceitação dele na aldeia é boa.	Si setason i bon na tabanka.
Tu deves de aceitar a verdade.	Bu dibi di seta bardadi.
Acena a mão para as pessoas.	Sana djintis mon.
Acenda o fogo para cozinhar a comida.	Sindi fugu pa kusiña bianda.
Acerta quem está ganhando.	Serta kin ki na gaña.
A luz está acesa no quarto.	Lus sindidu na kuartu.
Achei o meu sapato.	N' odja ña sapatu.
O acidente achatou a cabeça da criança.	Asidenti mopi kabesa di mininu.
Tu acidentaste as pessoas na estrada.	Bu kauza asidenti pa djintis na strada.
Aconteceu um acidente ontem.	I akontisi un asidenti aonti.
Este limão é ácido demais.	E limon asidu dimas.
A nuvem está acima do chão.	Nuven sta riba di tchon.
Tenho a camisa acinzentada.	N' tene kamisa sinzentu.
Esta cama é de aço.	E kama i di asu.
Minha mãe mora acolá.	Ña mame mora la.
Vou acolher alguém na minha casa.	N' risibi algin na ña kau.
Fui bem recebido.	N' risibidu diritu.
Acompanhei o meu amigo de noite.	N' kumpaña ña amigu di noti.
A minha mãe me aconselhou.	Ña mame konsidjan.
Ele ficou acordado de manhã.	I fika kordadu di parmaña.
Ele acordou de manhã.	I korda di parmaña.
Vamos assinar um acordo.	No na asina un akordu.
Ele é acostumado a jogar bola.	I kustumadu djuga bola.
Ele acostumou o cachorro a dormir fora da casa.	I kustumanta katchur durmi fora di kasa.
Ele já se acostumou com a escola.	I kustuma dja skola.
Meu amigo tem um açougue na aldeia.	Ña amigu tene sugi na tabanka.
Meu amigo é açougueiro.	Ña amigu i bindidur di karni.
Acredito no meu amigo.	N' kredita na ña amigu.
O suco tem açúcar demais.	Sumu tene sukru dimas.
Acumule todas as coisas em um lugar só para não perder.	Djunta kusas manga del na un kau so pa e ka pirdi.
Esse acusou alguém.	Es akuza algin.
Esta decisão está adequada.	E disizon i sta diritu.
A roupa adequou-se ao meu irmão.	Ropa djusta ña ermon.
Diga adeus ao teu pai.	Fala bu pape adeus.
Faça adição de manteiga ao bolo.	Fasi adison di mantega na bulu.
Adiciona sal à comida.	Disiona sal na bianda.
Adivinha o que é isso.	Dibiña es i ki.
Admiro aquela moça.	N' adimira ki badjuda.
Não admito mentira.	N' ka ta adimiti mintida.
A cozinheira adoçou o bolo.	Kusiñera dosa bulu.
Ele adoeceu hoje pela manhã.	I duensi aos parmaña.
Na minha adolescência eu bulia muito.	Na ña badjudesa n' ta buli ba tchiu.
Tenho adoração pela minha família.	N' tene adorason pa ña familia.
Meu pai é adorador dos antepassados.	Ña pape adoradur di antigus.
Eu adoro minha família.	N' adora ña familia.
Vou enfeitar o meu lugar.	Na fadja ña kau.
Meu irmão adquiriu um carro.	Ña ermon dikiri karu.
Aduba aquele pé de árvore.	Struma ki pe di arvuri.
Ponha adubo naquele pé de árvore.	Pui strumu na ki pe di arvuri.
Eu cometo adultério com outra mulher.	N' fasi adulteriu ku utru mindjer.
Homem adulto com mulher adulta dançam.	Omi adultu ku mindjer adultu na badja.
O advogado vai defender alguém na justiça.	Avogadu na difindi algin na djustisa.
Vou pegar o avião no aeroporto.	Na bai paña avion na kampu di aviason.
Afastar as crianças de perto do fogo.	Fasta mininus pertu di fugu.
Faca afiada é bom.	Faka moladu sabi.
Afia essa faca para mim.	Mola e faka pa mi.
Fui nadar ontem, me afoguei.	N' bai nada aonti, n' foga.
Quero afrouxar a minha roupa.	N' misti folga ña ropa.
O cachorro afugentou os animais.	Katchur fuganta limaria.
O anão caiu na água e afundou.	Anon kai na yagu i funda.
Quero agachar para apanhar a moeda no chão.	N' misti djungutu pa paña mueda na tchon.
Agarrei a mão da minha namorada.	N' gara mon di ña badjuda.
Tu és muito ágil.	Abo bu rapidu mal.
Tu queres agilidade no trabalho.	Bu misti rapides na tarbadju.
É preciso agir com cuidado.	I pirsis atua ku kuidadu.
Este lugar é muito agitado.	E kau tchiu muvimentu.
Minha irmã agitou a água da fonte.	Ña ermon-femia sakudi yagu di fonti.
Abana o fogo.	Bana fugu.
Vou lá agora.	Na bai la gosi.
No mês de agosto chove muito.	Mis di agostu tchuba na tchubi tchiu.
É bom eu estar com os meus amigos.	I bon n' sta ku ña amigus.
Quero agradecer tua amizade.	N' misti gardisi bu mistadi.
Eu recebi o agradecimento da minha mãe.	N' risibi gardisimentu di ña mame.
O rapaz agride alguém para brigar com ele.	Rapas rimiti kontra algin pa geria ku el.
Sua agressão contra mim me deixou triste.	Si manera di rimiti kontra mi disan tristi.
O agricultor cultiva milho.	Labradur labra midju.
A agricultura está bem este ano.	Agrikultura sta diritu es anu.
As coisas estão agrupadas em um lugar só.	Kusas runidu na un kau so.
Juntar todas as coisas direito.	Djunta kusas tudu diritu.
É bom beber água.	I bon bibi yagu.
O doente deve beber água de arroz cozido.	Duenti dibi di bibi mambereti.
A escola aguçou minha inteligência.	Skola pui ña intelijensia fika gudu.
Este pau é agudo, ele pode te ferir.	E po gudu, i pudi fidiu.
Á águia é uma ave perigosa.	Agia i avi pirigu.
Traz aquela agulha, vou costurar minha roupa.	Tisi ki gudja, n' kusi ña ropa.
Ajoelhei na pedra.	N' finka djudju na pedra.
Ajudei o meu amigo ontem.	N' djuda ña amigu aonti.
Ajusta a porta com a janela.	Djusta porta ku djanela.
Fizemos um ajuste para pagar a conta.	No fasi nogosiason pa paga konta.
Á agua derramou e alagou tudo no local.	Yagu darma i lagua tudu na kau.
Pinta o meu quarto alaranjado.	Pinta ña kuartu larandja.
A alça da bolsa quebrou-se.	Mon di bolsa sapa.
Quero alcançar um bom resultado na escola.	N' misti yangasa rizultadu bon na skola.
O vinho tinto é uma bebida que tem álcool.	Biñu tintu i bibida ku tene alkol.
Meu avô mora na aldeia.	Ña dona mora na aldea.
O resultado alegrou o pai do aluno.	Ruzultadu kontenta pape di alunu.
Estou muito alegre hoje.	N' sta muitu kontenti aos.
A chuva trouxe alegria na aldeia.	Tchuba tisi alegria na tabanka.
Os aleijados recebem a comida.	Alejadus risibi bianda.
Ela mora além da cidade.	I mora fora di tabanka.
Prepara a salada de alface.	Purpara salada di alfas.
Comprei algodão para limpar minha orelha.	N' kumpra algudon pa limpa ña oredja.
Alguém me falou de ti.	Algin falan di bo.
Alguma coisa está aqui.	Algun kusa sta li.
Puseste alho na comida.	Bu pui adju na bianda.
Ela está ali na porta.	I sta li na porta.
A alimentação não chega às pessoas.	Alimentason ka tchiga djintis.
Alimentaste os animais hoje de manhã.	Bu kumenti limarias aos di parmaña.
Alinha as pessoas.	Aliña djintis.
Onde está a aljava de flexas?	Bolsa di bala di flexa sta na nunde?
Tiraram a minha alma.	E tira ña alma.
O almoço já acabou.	Djanta kaba dja.
Não tenho um alojamento.	N' ka tene morada.
O governador alojou os soldados no quartel.	Gubernadur nstala soldadi na kuartel.
Fiz muito alongamento hoje.	N' fasi alongamentu aos tchiu.
Alonga o teu braço.	Longanta bu brasu.
Houve uma alteração na decisão.	I ten mudansa di disizon.
Altera a ordem das coisas	Altera ordi di kusas.
O trabalhador trabalha em dias alternados.	Tarbadjadur tarbadja dia trokadu.
Ela precisa alternar o dia de trabalho com sua companheira.	I pirsisa trokia dia di tarbadju ku si kumpañer.
Este rapaz é alto demais.	E rapas altu dimas.
O rapaz fumou maconha e ficou alto.	Rapas fuma yamba i fika tchamidu.
O rapaz bebeu cerveja e ficou embriagado.	Rapas bibi serbedja i fika tchamidu.
As pessoas que têm muita altura são muitas aqui.	Djintis ki tene altura tchiu li mal.
Essa menina é uma boa aluna.	E badjuda i bon alunu.
A lavadeira alvejou o lençol.	Labadera brankisi lansol.
Este copo é branco.	E kopu i branku.
Já alvoreceu, levantai.	Mansir di sol dja, bo lanta.
O cozinheiro amaciou a carne antes de cozinhá-la.	Kusiñeru molisi karni antis di kusñal.
Prepara a armadilha.	Monta armadidja.
O mamão amadureceu logo.	Papaia fika maduru logu.
Esta manga já está amadurecida.	E mangu kusidu dja.
Amaldiçoaram esta criança.	E da e mininu praga.
Amamenta a criança, ela está chorando muito.	Mamanta mininu, i na tchora tchiu.
Amanhã vamos jogar bola.	Amaña no na bai djuga bola.
Ela amanheceu na rua hoje.	I mansi na rua aos.
Vou à casa da minha amante hoje.	N' bai kau di ña kaza-dus aos.
Amo ou gosto de meus irmãos.	N' ama o n' gosta di ña ermons.
Minha camisa ficou amarelada.	Ña kamisa sta amarelu.
O sol amareleceu a roupa.	Sol pui ropa pa i sta amarelu.
Esta cor é amarelo.	E kor i amarelu.
Se puseste limão, ficou amargo.	Si bu pui limon la, i fika malgos.
O fel é amargo demais.	Fel malgos dimas.
A amargura da vida dói em mim.	Amargura di bida na den.
A vaca foi amarrada no pé da árvore.	I maradu baka na pe di arvuri.
Amarra a corda para secar a roupa.	Mara korda pa seka ropa.
O cachorro amarrotou a minha calça.	Katchur marlota ña kalsa.
O carro ficou amassado no acidente.	Karu fika masadu na asidenti.
O padeiro amassa o pão.	Masapon masa-masa pon.
Ambos os rapazes moram nesta casa.	Tudu dus rapazis mora nes kasa.
A bomba é uma ameaça para todas as pessoas.	Bumba na sedu amiasa pa tudu djintis.
O cachorro ameaçou a criança.	Katchur roka mininu.
Cultivamos amendoim este ano.	No labra mankara es anu.
Minha amiga é bonita.	Ña amiga bonitu.
Tenho amigo que gosta de mim.	N' tene amigu ki gosta di mi.
Aquela faca já está amolada.	Kil faka moladu dja.
Amola a faca para matar a galinha.	Mola faka pa mata galiña.
Põe água para amolecer a massa.	Pui yagu pa molisi masa.
Amontoe os bancos um em cima do outro.	Djunta bankus riba di n'utru.
Tenho amor pelo meu pai quanto pela minha mãe.	N' tene amor pa ña pape ki ña mame.
Amplia mais uma vez.	Aumenta imajen mas un bias.
Meu terreno é amplo.	Ña terenu largu.
Ponho o amuleto para ele me proteger.	N' ta pui tchifri di iran pa i protejin.
O anão é baixo demais.	Anon ta baxu dimas.
Nossos ancestrais sofreram a escravidão dos brancos.	No garandis ba sufri katiberasku di brankus.
Esta anciã dá muitos conselhos às pessoas.	E mindjer garandi ta da djintis konsidju tchiu.
Este ancião agora não pode andar.	Es omi garandi gosi i ka pudi yanda.
Lança a âncora do barco.	Fertcha fundiadera di barku.
Sobe no andaime para pintar a parede.	Subi na ndaimi pa pinta paredi.
A criança está aprendendo a andar.	Mininu na prindi yanda.
O andarilho anda por todos os lados da aldeia.	Yandadur yanda-yanda na tabanka.
O anel de casamento é bonito demais.	Anel di kasamentu bonitu dimas.
Anexa as cartas corretamente.	Djunta kartas diritu.
O meu povo tem muito sofrimento.	Ña pubis tene angustia tchiu.
Fiquei angustiado com a morte dela.	N' fika angustiadu pabia di si mortu.
Tenho muitos animais.	N' tene limaria manga del.
Esse anjo é bom.	Es andju bon.
Nesse ano faz muito calor.	Es anu kalur ten dimas.
Já está anoitecendo.	Sol na noti dja.
Estou ansioso, quero saber o resultado.	N' turmentadu, n' misti sibi rizultadu.
Quero ouvir o barulho antes de abrir a janela.	N' misti obi barudju anti di abri djanela.
Tens um antebraço grande.	Bu tene brasu di mon garandi.
Essa antena de rádio é grande.	Es antena di radiu garandi.
Anteontem, íamos jogar a bola.	Unturdia, no baiba djuga bola.
Nossos antepassados nos contavam história da luta de libertação.	No antigus ta kontanu ba istoria di luta di libertason.
Naqueles tempos anteriores, Bissau era boa.	Ki tempus antirior, Bisau sabi ba.
Antes, puxavam-nos a orelha na escola.	Antis, ba no ta djundadu oredja na skola.
Antigamente, era comum brincar na rua.	Antigamenti, no ta brinkaba na rua.
Naquele tempo antigo, a escola acabava na quarta série.	Kil tempu antigu, skola kababa na kuarta klasi.
A gazela tem as pernas compridas demais.	Gazela ta kumpridu pe dimas.
Nosso cultivo de arroz é anual.	No kultivu di arus anual.
Devemos anunciar a boa nova para eles.	No dibi anunsia bon noba pa elis.
Minha mãe anunciou a morte da minha avó.	Ña mame konta tchur di ña dona.
O rapaz fez o anúncio do jogo.	Rapas bota banu di djugu.
As fezes saem pelo ânus.	Koko ta sai na koba di bunda.
Vai pescar com esse anzol.	Bai piska ku es ansol.
Apaga o que escreveste.	Paga letra ku bu skirbi.
Aparafusa bem a porta do carro.	Parafusa porta di karu diritu.
Apareceste de repente, que eu até me assustei.	Bu parsi di repenti, to ki n' panta.
A coisa apareceu de repente como uma aparição.	Kusa parsi di repenti suma aparison.
A criança estava apática na escola.	Mininu staba disinteresadu na skola.
O menino apelidou seu amigo de leão.	Mininu da si amigu nomi di lion.
Qual que é o teu apelido?	Kal ki bu manteña?
Esta calça está apertada em ti.	E kalsa pertadu na bo.
Aperta a garrafa de água.	Perta bidon di yagu.
Aperta o botão para a máquina funcionar.	Kalka boton pa makina funsiona.
Aperta-me a mão, és o meu amigo.	Dan mon, abo i ña amigu.
Esse homem é apicultor na minha terra.	Es omi bagereru na ña tera.
Meu avô trabalha com apicultura.	Ña dona tarbadja ku kriason di bagera.
Apita o jogo das crianças.	Pita djugu di mininus.
Comprei o apito para apitar o jogo.	N' kumpra pitu pa pita djugu.
Tenta acalmar o teu amigo, ele está nervoso.	Tenta kalma bu amigu, i sta ku nervu.
É preciso aplainar a madeira para fazer a porta.	I pirsis plania madera pa kumpu porta.
Vai passar a pomada, o teu corpo está seco.	Bai puli pumada, bu kurpu sta seku.
A comida apodreceu na mesa.	Bianda podrisi na mesa.
Preciso do teu apoio.	N' misti bu apoiu.
Põe a cabeça no travesseiro para poderes dormir.	Pui kabesa na turbuseru pa bu pudi durmi.
Olha, ela está me apontando o dedo.	Djubi, i na tchulin dedu.
Vou dormir após o trabalho.	Na bai durmi dipus di tarbadju.
A polícia apreendeu a droga.	Pulisia aprindi droga.
Aprendi a escrever.	N' prindi skribi.
Estás apressado demais.	Bu turmentadu dimas.
Não apresses a tua mãe.	Ka bu djanti bu mame.
Tenta aprofundar o português.	Tenta bai mas fundu na purtugis.
Esta roupa é apropriada para ir à festa.	E ropa i propi pa bai festa ku el.
O ladrão se apropriou do carro.	Ladron toma karu.
